latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
17.4189,10820.7783,14.2227,12.5244,13.0186,14.0996,16.918,20858.541,59.10864168,3429.2539,,,,
16.5684,10837.3467,13.7314,12.4843,13.0782,14.0059,16.9356,20875.4766,59.04721415,3446.1895,,,,
16.5654,10853.9121,13.7471,12.4893,12.8301,14.1133,17.5175,20892.9941,57.08577137,3463.707,,,,
16.5078,10870.4199,13.3349,12.5098,13.0049,14.0225,16.8789,20909.873,59.24556695,3480.5859,,,,
16.3819,10886.8018,14.2412,12.7549,12.7608,14.0185,17.8731,20927.7461,55.95000308,3498.459,,,,
16.5332,10903.335,13.6162,12.4717,12.9238,14.0332,17.1777,20944.9238,58.21501132,3515.6367,,,,
17.2578,10920.5928,13.4336,12.4766,13.1572,14.1806,17.545,20962.4688,56.99629524,3533.1817,,,,
16.331,10936.9238,13.8701,12.4971,12.9893,14.1406,16.8242,20979.293,59.43819023,3550.0059,,,,
16.4014,10953.3252,14.1709,12.4277,12.9277,13.9688,16.8886,20996.1816,59.21153914,3566.8945,,,,
16.6309,10969.9561,13.6475,12.4843,12.9834,14.0107,17.9981,21014.1797,55.56142037,3584.8926,,,,
16.333,10986.2891,13.6113,12.4844,12.9091,13.9268,16.8594,21031.0391,59.31409184,3601.752,,,,
16.6494,11002.9385,13.7773,12.5,12.8838,14.207,16.8437,21047.8828,59.36937846,3618.5957,,,,
17.3105,11020.249,14.1504,12.5118,12.8936,13.9502,16.8672,21064.75,59.28666287,3635.4629,,,,
16.1162,11036.3652,13.7109,12.5527,12.9668,13.8731,16.4258,21081.1758,60.87983538,3651.8887,,,,
17.1016,11053.4668,13.5069,12.5909,13.0332,14.5723,17.6777,21098.8535,56.56844499,3669.5664,,,,
16.3945,11069.8613,13.4209,12.6914,12.9375,14.0215,17.6445,21116.498,56.67488452,3687.2109,,,,
16.3379,11086.1992,13.3741,12.6367,12.7969,13.9941,16.4024,21132.9004,60.9666878,3703.6133,,,,
16.9072,11103.1064,13.3017,12.6045,13.0811,14.4941,16.9687,21149.8691,58.93203369,3720.582,,,,
16.9922,11120.0986,13.6191,12.6045,12.7392,13.8818,17.0196,21166.8887,58.75578745,3737.6016,,,,
16.4405,11136.5391,13.7598,12.5947,12.8848,14.0508,17.0957,21183.9844,58.49424124,3754.6973,,,,
16.5332,11153.0723,13.3399,12.4502,12.9082,13.9434,17.2695,21201.2539,57.90555604,3771.9668,,,,
16.7129,11169.7852,13.8643,12.5,12.9023,14.2226,17.7324,21218.9863,56.39394555,3789.6992,,,,
16.4072,11186.1924,13.4541,12.3857,12.7744,13.9864,17.0371,21236.0234,58.69543526,3806.7363,,,,
17.0322,11203.2246,14.0322,12.4893,12.8535,14.2138,17.2168,21253.2402,58.08280284,3823.9531,,,,
17.3496,11220.5742,14.1846,12.4521,12.9629,14.0605,16.9707,21270.2109,58.92508853,3840.9238,,,,
17.1856,11237.7598,13.25,12.4668,12.9189,14.0468,16.67,21286.8809,59.9880024,3857.5938,,,,
16.708,11254.4678,13.5703,12.498,12.917,13.998,16.7929,21303.6738,59.54897606,3874.3867,,,,
16.4717,11270.9395,13.584,12.4697,13.0098,14.0488,17.3477,21321.0215,57.64452925,3891.7344,,,,
16.625,11287.5645,13.6426,12.5937,12.8936,13.8945,16.7168,21337.7383,59.82006126,3908.4512,,,,
17.0449,11304.6094,13.6065,12.4541,12.832,13.9639,16.7832,21354.5215,59.58339292,3925.2344,,,,
17.2822,11321.8916,13.3106,12.5,12.9639,13.9658,16.7656,21371.2871,59.64594169,3942,,,,
17.0361,11338.9277,13.3203,12.4863,12.7432,14.2315,16.4941,21387.7812,60.62773962,3958.4941,,,,
16.4932,11355.4209,13.6826,12.4736,13.0918,13.9863,16.3633,21404.1445,61.11236731,3974.8574,,,,
16.4844,11371.9053,13.4072,12.539,12.9073,13.9424,17.0606,21421.2051,58.61458565,3991.918,,,,
16.8955,11388.8008,13.9531,12.4883,13.2128,14.2802,16.1758,21437.3809,61.82074457,4008.0938,,,,
16.6367,11405.4375,14.2519,12.5039,12.8154,13.9287,16.6738,21454.0547,59.97433099,4024.7676,,,,
17.2158,11422.6533,13.5185,12.5019,12.9257,13.8613,16.584,21470.6387,60.29908345,4041.3516,,,,
16.7725,11439.4258,13.5518,12.4707,13.0117,14.2343,16.5078,21487.1465,60.57742401,4057.8594,,,,
