latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
16.2568,9443.8037,13.496,12.46,12.8584,13.9228,17.2754,17554.4375,57.88577978,2780.5313,,,,
17.3213,9461.125,13.4433,12.4727,12.9121,14.0693,16.5195,17570.957,60.53451981,2797.0508,,,,
16.373,9477.498,13.3155,12.4551,12.9843,14.165,16.4649,17587.4219,60.73526107,2813.5157,,,,
16.5411,9494.0391,13.9619,12.4795,12.8194,14.0078,16.9687,17604.3906,58.93203369,2830.4844,,,,
16.9277,9510.9668,13.4473,12.4609,12.8545,14.0449,16.4961,17620.8867,60.62038906,2846.9805,,,,
16.6719,9527.6387,13.542,12.4502,12.8779,14.0967,16.625,17637.5117,60.15037594,2863.6055,,,,
16.5508,9544.1895,13.3741,12.4473,12.8516,14.0576,17.1485,17654.6602,58.31413826,2880.754,,,,
17.3164,9561.5059,13.6562,12.4756,12.8663,13.9306,16.4277,17671.0879,60.87279412,2897.1817,,,,
17.1914,9578.6973,14.1651,12.4687,12.8994,14.0118,16.4746,17687.5625,60.69950105,2913.6563,,,,
16.6933,9595.3906,13.5986,12.5049,12.8408,13.9375,16.4121,17703.9746,60.93065482,2930.0684,,,,
16.9766,9612.3672,13.5147,12.502,12.9746,13.9746,16.2969,17720.2715,61.3613632,2946.3653,,,,
16.5234,9628.8906,14.2305,12.5049,12.8106,14.1182,16.4961,17736.7676,60.62038906,2962.8614,,,,
16.2471,9645.1377,13.8418,12.4873,12.8663,13.9073,17.6386,17754.4062,56.69384191,2980.5,,,,
17.0547,9662.1924,13.414,12.6103,12.833,14.0498,16.4825,17770.8887,60.67040801,2996.9825,,,,
16.4619,9678.6543,13.3564,12.7705,13.04,14.0371,16.4258,17787.3145,60.87983538,3013.4083,,,,
18.1787,9696.833,13.5284,12.5068,12.9228,14.6944,16.6875,17804.002,59.92509363,3030.0958,,,,
16.4258,9713.2588,13.3935,12.4804,12.8975,14.0264,16.3437,17820.3457,61.18565563,3046.4395,,,,
16.4668,9729.7256,14.2881,12.5732,12.793,14.0489,16.4883,17836.834,60.64906631,3062.9278,,,,
16.6064,9746.332,13.5664,12.5283,13.0108,14.084,17.2129,17854.0469,58.09596291,3080.1407,,,,
17.4922,9763.8242,14.2314,12.5215,12.8526,13.9619,16.2871,17870.334,61.39828453,3096.4278,,,,
16.5117,9780.3359,13.8672,12.498,13.0371,14.0606,16.5469,17886.8809,60.43428074,3112.9747,,,,
16.4073,9796.7432,13.5488,12.4825,12.9209,13.8975,16.6113,17903.4922,60.19998435,3129.586,,,,
16.705,9813.4482,13.3505,12.4541,12.8642,14.0498,16.3808,17919.873,61.04707951,3145.9668,,,,
16.7657,9830.2139,13.3096,12.4805,12.9111,14.1729,16.4864,17936.3594,60.6560559,3162.4532,,,,
16.5498,9846.7637,13.5469,12.4707,12.9688,13.9326,17.2539,17953.6133,57.95791097,3179.7071,,,,
17.3467,9864.1104,13.8242,12.4951,12.8477,14.0801,16.4883,17970.1016,60.64906631,3196.1954,,,,
16.3564,9880.4668,14.0273,12.538,13.0742,14.0468,16.9746,17987.0762,58.9115502,3213.17,,,,
16.6396,9897.1064,13.625,12.4921,12.835,14.1386,16.5293,18003.6055,60.49862971,3229.6993,,,,
16.7872,9913.8936,14.1025,12.5206,13.0313,14.1738,16.6172,18020.2227,60.17861011,3246.3165,,,,
16.6103,9930.5039,14.1484,12.4687,13.0742,14.0586,16.3808,18036.6035,61.04707951,3262.6973,,,,
16.5195,9947.0234,13.6982,12.5127,12.9844,13.9092,17.0469,18053.6504,58.66169216,3279.7442,,,,
17.083,9964.1064,13.3056,12.4824,13.0147,13.8799,16.4394,18070.0898,60.82947066,3296.1836,,,,
16.2608,9980.3672,13.2412,12.5762,13.0742,14.0068,16.4707,18086.5605,60.71387373,3312.6543,,,,
16.3389,9996.7061,13.2754,12.4873,13.08,13.9561,16.2872,18102.8477,61.39790756,3328.9415,,,,
16.5849,10013.291,13.3408,12.4834,12.7861,14.1016,16.5019,18119.3496,60.59908253,3345.4434,,,,
16.4102,10029.7012,13.249,12.4775,13.0684,14.082,16.3887,18135.7383,61.01765241,3361.8321,,,,
16.4941,10046.1953,13.2481,12.4942,12.8584,13.9825,17.4746,18153.2129,57.22591647,3379.3067,,,,
17.7647,10063.96,13.7949,12.7949,12.9326,14.0859,16.332,18169.5449,61.22948812,3395.6387,,,,
16.5625,10080.5225,13.2822,12.458,12.8808,14.2022,16.4434,18185.9883,60.81467336,3412.0821,,,,
16.1611,10096.6836,14.2753,12.4736,12.9316,13.9278,16.334,18202.3223,61.22199094,3428.4161,,,,
16.3809,10113.0645,13.3095,12.4833,13.0518,14.0899,16.4004,18218.7227,60.97412258,3444.8165,,,,
16.8955,10129.96,13.6445,12.4951,13.1425,14.0019,16.7851,18235.5078,59.57664834,3461.6016,,,,
17.0888,10147.0488,13.5586,12.6631,12.9756,14.1367,17.1192,18252.627,58.41394458,3478.7208,,,,
18.0469,10165.0957,14.0732,12.5713,12.8955,13.9913,16.4668,18269.0938,60.72825321,3495.1876,,,,
16.5059,10181.6016,14.003,12.5215,12.9258,14.0625,17.121,18286.2148,58.40780328,3512.3086,,,,
16.6084,10198.21,13.9571,12.4394,12.9052,14.0821,16.4414,18302.6562,60.82207111,3528.75,,,,
16.7841,10214.9941,13.3359,12.6006,13.1016,14.0313,16.9942,18319.6504,58.84360547,3545.7442,,,,
16.2911,10231.2852,13.8702,12.5137,12.8857,13.9581,16.9863,18336.6367,58.87097249,3562.7305,,,,
16.539,10247.8242,13.3291,12.4766,13.0244,14.0059,17.1621,18353.7988,58.26792758,3579.8926,,,,
17.0274,10264.8516,13.6172,12.4668,12.8565,13.9931,16.5684,18370.3672,60.35585814,3596.461,,,,
16.1279,10280.9795,13.4893,12.4853,13.1758,13.9278,16.3984,18386.7656,60.98155918,3612.8594,,,,
16.2764,10297.2559,14.2832,12.5273,12.8701,13.9511,16.7696,18403.5352,59.63171453,3629.629,,,,
16.4521,10313.708,14.0927,12.4971,12.9239,14.0127,16.789,18420.3242,59.56280898,3646.418,,,,
16.7461,10330.4541,13.6152,12.5,13.1563,14.1563,16.6621,18436.9863,60.01644451,3663.0801,,,,
16.2842,10346.7383,13.2998,12.4414,13.1113,13.9571,17.0821,18454.0684,58.54081173,3680.1622,,,,
