latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel,,,,
30.3359,13307.5527,26.2041,27.2774,29.2441,34.19493163,22806.4453,8084.0996,,,,
29.4317,13336.9844,26.1192,27.4423,29.4609,33.94329433,22835.9062,8113.5605,,,,
29.5068,13366.4912,26.0459,27.2403,28.8438,34.6694957,22864.75,8142.4043,,,,
30.0518,13396.543,26.5615,26.874,29.1387,34.31862094,22893.8887,8171.543,,,,
29.0273,13425.5703,26.0244,27.0108,30.3008,33.00242898,22924.1895,8201.8438,,,,
29.332,13454.9023,26.5498,26.7569,29.039,34.43644754,22953.2285,8230.8828,,,,
29.8038,13484.7061,26.1846,26.6309,29.1016,34.36237183,22982.3301,8259.9844,,,,
28.5214,13513.2275,26.0303,26.5322,29.5722,33.81554298,23011.9023,8289.5566,,,,
28.8057,13542.0332,26.459,26.6777,29.0801,34.38777721,23040.9824,8318.6367,,,,
30.1748,13572.208,26.6679,27.3681,29.4395,33.96796821,23070.4219,8348.0762,,,,
29.2227,13601.4307,26.3047,27.1329,30.1328,33.18642808,23100.5547,8378.209,,,,
29.5048,13630.9355,26.3691,26.9853,29.6387,33.73967144,23130.1934,8407.8477,,,,
31.0342,13661.9697,26.1719,27.0234,29.0097,34.47122859,23159.2031,8436.8574,,,,
29.0674,13691.0371,26.0157,26.8935,30.0996,33.22303286,23189.3027,8466.957,,,,
29.0244,13720.0615,25.9521,26.7549,28.7735,34.75420091,23218.0762,8495.7305,,,,
29.7754,13749.8369,26.2539,26.6533,28.7519,34.78031017,23246.8281,8524.4824,,,,
29.6055,13779.4424,26.8535,27.3672,30.2168,33.09417278,23277.0449,8554.6992,,,,
29.7539,13809.1963,26.0323,27.2861,29.4063,34.00631837,23306.4512,8584.1055,,,,
