latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel
28.6904,9780.5195,26.3691,26.5333,29.2344,34.20627754,23569.8535,5396.8555
28.9737,9809.4932,26.2715,26.8066,29.2246,34.21774806,23599.0781,5426.0801
29.5214,9839.0146,26.0664,26.7412,30.0137,33.31811806,23629.0918,5456.0938
28.7999,9867.8145,26.0391,26.711,28.998,34.48513691,23658.0898,5485.0918
28.7646,9896.5791,26.0362,26.6426,29.4082,34.0041213,23687.498,5514.5
30.0391,9926.6182,26.4912,26.9795,29.5684,33.8198888,23717.0664,5544.0684
28.9775,9955.5957,26.3203,26.8242,29.2109,34.23379629,23746.2773,5573.2793
29.2451,9984.8408,26.0645,27.0225,29.2422,34.19715343,23775.5195,5602.5215
29.5049,10014.3457,26.2188,26.6094,30.1641,33.15199194,23805.6836,5632.6856
28.8105,10043.1562,25.9443,26.8379,28.8887,34.61561095,23834.5723,5661.5743
28.96,10072.1162,26.1494,26.7803,29.3515,34.06980904,23863.9238,5690.9258
29.6553,10101.7715,26.1875,26.585,29.6465,33.73079453,23893.5703,5720.5723
28.8564,10130.6279,26.0361,26.7187,29.3711,34.04707348,23922.9414,5749.9434
28.8741,10159.502,26.1485,26.6641,29.5488,33.84232185,23952.4902,5779.4922
29.747,10189.249,26.6397,26.9522,30.1153,33.20571271,23982.6055,5809.6075
28.8584,10218.1074,26.2168,26.7978,29.1015,34.36248991,24011.707,5838.709
28.7647,10246.8721,26.004,26.6816,29.2852,34.14694112,24040.9922,5867.9942
29.8125,10276.6846,26.4424,26.6768,29.8691,33.47941518,24070.8613,5897.8633
29.1172,10305.8018,26.5996,26.833,28.7461,34.78732767,24099.6074,5926.6094
29.1279,10334.9297,26.206,26.8467,29.127,34.33240636,24128.7344,5955.7364
29.8564,10364.7861,26.2051,26.7002,30.0215,33.30946155,24158.7559,5985.7579
28.6729,10393.459,26.3203,26.6855,29.4961,33.90278715,24188.252,6015.254
28.7666,10422.2256,26.1592,26.6309,29.1113,34.35092215,24217.3633,6044.3653
30.5732,10452.7988,26.541,27.2862,30.0039,33.32900056,24247.3672,6074.3692
29.4043,10482.2031,25.9287,27.3223,28.9082,34.59226102,24276.2754,6103.2774
29.167,10511.3701,26.0127,27.0986,28.8125,34.70715835,24305.0879,6132.0899
30.0313,10541.4014,26.1044,26.9522,30.4902,32.79742343,24335.5781,6162.5801
29.0429,10570.4443,26.5157,26.9756,29.5254,33.86914318,24365.1035,6192.1055
29.0821,10599.5264,26.0244,26.9336,29.1914,34.25666463,24394.2949,6221.2969
30.0537,10629.5801,26.0283,26.6123,30.0742,33.2510923,24424.3691,6251.3711
28.7666,10658.3467,26.5528,26.6523,28.9903,34.49429637,24453.3594,6280.3614
28.8838,10687.2305,25.959,26.6709,29.1523,34.30261077,24482.5117,6309.5137
29.708,10716.9385,26.1348,26.7559,30.8711,32.39275568,24513.3828,6340.3848
29.4511,10746.3896,26.625,27.2949,29.4981,33.90048851,24542.8809,6369.8829
29.4444,10775.834,26.1865,27.2275,29.2461,34.1925932,24572.127,6399.129
30.0478,10805.8818,26.0264,26.9511,29.6152,33.76644426,24601.7422,6428.7442
29.125,10835.0068,26.2305,26.9747,29.0039,34.47812191,24630.7461,6457.7481
29.1582,10864.165,26.1084,26.9287,29.1152,34.34632082,24659.8613,6486.8633
29.9561,10894.1211,25.874,27.1689,29.6973,33.67309486,24689.5586,6516.5606
28.6816,10922.8027,26.2773,26.6153,29.5195,33.87591253,24719.0781,6546.0801
28.8194,10951.6221,25.9921,26.6934,29.2989,34.1309742,24748.377,6575.379
29.9218,10981.5439,26.0332,26.8398,30.2089,33.10282731,24778.5859,6605.5879
29.0948,11010.6387,26.3584,26.915,28.8672,34.64139231,24807.4531,6634.4551
29.1269,11039.7656,26.3555,26.9805,28.9649,34.52454523,24836.418,6663.42
30.1006,11069.8662,26.0694,27.2686,29.9746,33.36157947,24866.3926,6693.3946
29.1514,11099.0176,26.1895,27.1084,28.9648,34.52466442,24895.3574,6722.3594
28.9072,11127.9248,26.5489,26.7823,29.3614,34.05832147,24924.7188,6751.7208
29.9658,11157.8906,26.6416,26.8603,30.0195,33.31168074,24954.7383,6781.7403
28.8516,11186.7422,26.1035,26.7403,29.0547,34.41783945,24983.793,6810.795
29.2168,11215.959,26.5058,26.9463,29.1113,34.35092215,25012.9043,6839.9063
29.7412,11245.7002,26.0801,26.8877,29.9492,33.38987352,25042.8535,6869.8555
28.7236,11274.4238,26.4385,26.7861,29.4004,34.01314268,25072.2539,6899.2559
29.1826,11303.6064,26.3321,27.0254,29.0117,34.46885222,25101.2656,6928.2676
29.8741,11333.4805,26.3145,26.8428,29.7871,33.57157964,25131.0527,6958.0547
28.7841,11362.2646,26.4424,26.6612,29.2657,34.16969353,25160.3184,6987.3204
28.7491,11391.0137,26.4531,26.5362,29.2089,34.23614035,25189.5273,7016.5293
30.0547,11421.0684,25.9248,27.2881,30.5137,32.77216463,25220.041,7047.043
29.2636,11450.332,25.9805,27.2256,29.3613,34.05843747,25249.4023,7076.4043
29.1983,11479.5303,26.2266,27.0879,29.0899,34.37619242,25278.4922,7105.4942
30.3144,11509.8447,25.9004,27.1651,30.0937,33.22954638,25308.5859,7135.5879
28.9727,11538.8174,25.9043,26.8301,29.3575,34.06284595,25337.9434,7164.9454
29.0869,11567.9043,26.336,26.9287,29.3086,34.11967818,25367.252,7194.254
29.5762,11597.4805,26.1123,26.7813,30.3964,32.89863273,25397.6484,7224.6504
28.7861,11626.2666,26.2373,26.6992,29.1758,34.27498132,25426.8242,7253.8262
28.6514,11654.918,25.9844,26.5273,29.0977,34.36697746,25455.9219,7282.9239
30.1328,11685.0508,26.6835,27.2129,30.4277,32.86479096,25486.3496,7313.3516
29.4306,11714.4814,26.1093,27.3135,29.3047,34.12421898,25515.6543,7342.6563
29.1973,11743.6787,26.1504,27.0118,29.5742,33.81325615,25545.2285,7372.2305
29.8858,11773.5645,26.6699,26.9717,30.8926,32.37021164,25576.1211,7403.1231
28.9501,11802.5146,26.5273,26.9678,29.0957,34.3693398,25605.2168,7432.2188
28.877,11831.3916,26.0351,26.7422,29.1445,34.31179125,25634.3613,7461.3633
29.6904,11861.082,26.5401,26.6494,29.7364,33.62881855,25664.0977,7491.0997
29.3838,11890.4658,26.0401,27.249,29.2461,34.1925932,25693.3438,7520.3458
29.3711,11919.8369,26.25,27.1993,29.3437,34.07886531,25722.6875,7549.6895
30.0322,11949.8691,26.6982,27.0429,30.002,33.33111126,25752.6895,7579.6915
28.9307,11978.7998,26.4102,26.957,29.2128,34.23156972,25781.9023,7608.9043
29.2314,12008.0312,25.8134,27.0459,29.1094,34.35316427,25811.0117,7638.0137
30.125,12038.1562,26.5088,26.789,30.0528,33.27476974,25841.0645,7668.0665
28.6905,12066.8467,26.2441,26.5205,29.0039,34.47812191,25870.0684,7697.0704
29.4629,12096.3096,26.2236,27.2842,29.2168,34.22688316,25899.2852,7726.2872
29.9609,12126.2705,26.0215,27.1172,29.9003,33.44448049,25929.1855,7756.1875
29.042,12155.3125,25.8867,27.0225,29.2364,34.20393756,25958.4219,7785.4239
29.2764,12184.5889,25.9785,27.1055,29.1211,34.33936218,25987.543,7814.545
30.4736,12215.0625,26.1367,27.0654,29.9043,33.44000696,26017.4473,7844.4493
28.8203,12243.8828,26.4366,26.7334,29.2734,34.16070562,26046.7207,7873.7227
28.7949,12272.6777,26.1455,26.6845,28.8848,34.62028472,26075.6055,7902.6075
30.2784,12302.9561,26.1543,26.9092,29.7949,33.56279095,26105.4004,7932.4024
28.9023,12331.8584,26.3496,26.8818,29.3359,34.0879264,26134.7363,7961.7383
29.0645,12360.9229,25.9931,26.9013,29.1934,34.25431776,26163.9297,7990.9317
30.0517,12390.9746,25.9209,27.1729,30.0039,33.32900056,26193.9336,8020.9356
29.3604,12420.335,26.5078,27.2041,29.3203,34.10606303,26223.2539,8050.2559
29.1904,12449.5254,26.2383,26.9785,29.3496,34.07201461,26252.6035,8079.6055
29.8633,12479.3887,25.9346,26.9932,29.9942,33.33977902,26282.5977,8109.5997
29.2217,12508.6104,26.2988,27.0742,29.3632,34.05623365,26311.9609,8138.9629
28.9716,12537.582,26.2569,26.8145,29.334,34.09013432,26341.2949,8168.2969
29.8369,12567.4189,25.9336,26.875,29.8203,33.53420321,26371.1152,8198.1172
28.9346,12596.3535,26.0898,26.79,29.0938,34.37158432,26400.209,8227.211
28.8955,12625.249,26.4639,26.707,29.0078,34.47348644,26429.2168,8256.2188
29.9473,12655.1963,26.4327,27.1132,29.8613,33.48816026,26459.0781,8286.0801
29.2842,12684.4805,26.2314,27.2002,29.4199,33.9905982,26488.498,8315.5
29.3076,12713.7881,26.8457,27.1816,29.2071,34.23825029,26517.7051,8344.7071
29.9892,12743.7773,25.957,26.9688,31.0019,32.25608753,26548.707,8375.709
29.1866,12772.9639,25.9648,26.998,28.7989,34.72354847,26577.5059,8404.5079
29.2959,12802.2598,26.4648,27.0576,29.1464,34.30955452,26606.6523,8433.6543
29.5478,12831.8076,26.0039,26.6768,29.9473,33.39199193,26636.5996,8463.6016
28.7832,12860.5908,26.1064,26.7724,28.8359,34.67899389,26665.4355,8492.4375
28.9737,12889.5645,26.4912,26.8526,29.3204,34.10594671,26694.7559,8521.7579
30.1376,12919.7021,26.2666,26.9746,31.0996,32.1547544,26725.8555,8552.8575
29.2041,12948.9062,26.0576,27.1299,29.1289,34.33016695,26754.9844,8581.9864
