timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:16.080, Tesla T4, 1, 92 %, 173 MiB, 72.34 W
2024/01/07 18:57:16.088, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:16.092, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:16.897, Tesla T4, 0, 80 %, 175 MiB, 78.69 W
2024/01/07 18:57:16.907, Tesla T4, 1, 91 %, 173 MiB, 72.34 W
2024/01/07 18:57:16.918, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:16.922, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:17.726, Tesla T4, 0, 79 %, 175 MiB, 79.60 W
2024/01/07 18:57:17.738, Tesla T4, 1, 92 %, 173 MiB, 72.82 W
2024/01/07 18:57:17.745, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:57:17.749, Tesla T4, 3, 0 %, 9 MiB, 36.09 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:18.553, Tesla T4, 0, 78 %, 175 MiB, 78.78 W
2024/01/07 18:57:18.558, Tesla T4, 1, 92 %, 173 MiB, 72.73 W
2024/01/07 18:57:18.563, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:57:18.568, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:19.372, Tesla T4, 0, 79 %, 175 MiB, 78.78 W
2024/01/07 18:57:19.378, Tesla T4, 1, 91 %, 173 MiB, 72.82 W
2024/01/07 18:57:19.387, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 18:57:19.391, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:20.195, Tesla T4, 0, 79 %, 175 MiB, 79.36 W
2024/01/07 18:57:20.206, Tesla T4, 1, 92 %, 173 MiB, 72.82 W
2024/01/07 18:57:20.219, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 18:57:20.223, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:21.027, Tesla T4, 0, 80 %, 175 MiB, 79.60 W
2024/01/07 18:57:21.038, Tesla T4, 1, 92 %, 173 MiB, 72.92 W
2024/01/07 18:57:21.049, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:57:21.053, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:21.859, Tesla T4, 0, 79 %, 175 MiB, 72.44 W
2024/01/07 18:57:21.869, Tesla T4, 1, 91 %, 173 MiB, 75.76 W
2024/01/07 18:57:21.878, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:57:21.884, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:22.688, Tesla T4, 0, 80 %, 175 MiB, 72.35 W
2024/01/07 18:57:22.701, Tesla T4, 1, 91 %, 173 MiB, 74.80 W
2024/01/07 18:57:22.710, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:22.714, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:23.519, Tesla T4, 0, 81 %, 175 MiB, 69.12 W
2024/01/07 18:57:23.529, Tesla T4, 1, 92 %, 173 MiB, 75.86 W
2024/01/07 18:57:23.540, Tesla T4, 2, 0 %, 9 MiB, 35.05 W
2024/01/07 18:57:23.544, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:24.350, Tesla T4, 0, 80 %, 175 MiB, 71.05 W
2024/01/07 18:57:24.362, Tesla T4, 1, 91 %, 173 MiB, 74.61 W
2024/01/07 18:57:24.371, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:57:24.375, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:25.180, Tesla T4, 0, 81 %, 175 MiB, 67.62 W
2024/01/07 18:57:25.185, Tesla T4, 1, 90 %, 173 MiB, 72.05 W
2024/01/07 18:57:25.191, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:25.195, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:25.999, Tesla T4, 0, 82 %, 175 MiB, 60.67 W
2024/01/07 18:57:26.007, Tesla T4, 1, 91 %, 173 MiB, 69.31 W
2024/01/07 18:57:26.016, Tesla T4, 2, 0 %, 9 MiB, 35.05 W
2024/01/07 18:57:26.021, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
