timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:03.586, Tesla T4, 0, 100 %, 287 MiB, 70.76 W
2024/01/07 19:35:03.592, Tesla T4, 1, 99 %, 285 MiB, 71.23 W
2024/01/07 19:35:03.601, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:35:03.607, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:04.415, Tesla T4, 0, 100 %, 287 MiB, 72.35 W
2024/01/07 19:35:04.420, Tesla T4, 1, 98 %, 285 MiB, 72.25 W
2024/01/07 19:35:04.430, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:35:04.434, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:05.243, Tesla T4, 0, 100 %, 287 MiB, 74.22 W
2024/01/07 19:35:05.248, Tesla T4, 1, 98 %, 285 MiB, 72.63 W
2024/01/07 19:35:05.260, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:35:05.264, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:06.073, Tesla T4, 0, 100 %, 287 MiB, 74.13 W
2024/01/07 19:35:06.079, Tesla T4, 1, 96 %, 285 MiB, 71.96 W
2024/01/07 19:35:06.090, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:35:06.095, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:06.904, Tesla T4, 0, 100 %, 287 MiB, 76.48 W
2024/01/07 19:35:06.909, Tesla T4, 1, 99 %, 285 MiB, 72.73 W
2024/01/07 19:35:06.919, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:35:06.923, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:07.731, Tesla T4, 0, 100 %, 287 MiB, 75.47 W
2024/01/07 19:35:07.736, Tesla T4, 1, 98 %, 285 MiB, 73.11 W
2024/01/07 19:35:07.741, Tesla T4, 2, 0 %, 9 MiB, 35.05 W
2024/01/07 19:35:07.745, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:08.555, Tesla T4, 0, 100 %, 287 MiB, 75.47 W
2024/01/07 19:35:08.564, Tesla T4, 1, 97 %, 285 MiB, 73.11 W
2024/01/07 19:35:08.569, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:35:08.573, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:09.382, Tesla T4, 0, 100 %, 287 MiB, 75.57 W
2024/01/07 19:35:09.389, Tesla T4, 1, 99 %, 285 MiB, 72.53 W
2024/01/07 19:35:09.394, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:35:09.398, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:10.210, Tesla T4, 0, 100 %, 287 MiB, 75.47 W
2024/01/07 19:35:10.215, Tesla T4, 1, 97 %, 285 MiB, 72.25 W
