latency,time,GPU1,GPU2
29.7539,21920.7012,25.1777,26.6367
28.1054,21948.8066,25.0664,26.3848
28.0762,21976.8828,25.0079,26.3379
30.4004,22007.2832,25.0254,27.0527
28.6719,22035.9551,25.1621,27.0449
28.3457,22064.3008,25.0351,26.8281
28.2832,22092.584,25.0468,26.7793
28.2265,22120.8105,25.1309,26.7539
28.0293,22148.8398,25.0273,26.5469
28.3575,22177.1973,25.4765,27.0098
28.5175,22205.7148,25.4863,26.9882
29.1211,22234.8359,25.3672,26.9003
28.2852,22263.1211,25.2989,26.791
28.3047,22291.4258,25.3222,26.8262
28.0976,22319.5234,25.125,26.625
27.8828,22347.4062,25,26.3769
27.7481,22375.1543,25.0664,26.3672
30.1172,22405.2715,25.0372,26.9746
28.8262,22434.0977,25.0938,27.0762
28.539,22462.6367,25.0977,26.8926
28.2754,22490.9121,25.084,26.7383
28.25,22519.1621,24.9942,26.7696
27.957,22547.1191,25.0293,26.502
28.4727,22575.5918,25.6836,26.9942
28.5742,22604.166,25.5019,27.0391
28.3496,22632.5156,25.4629,26.8672
28.2461,22660.7617,25.248,26.7715
28.2578,22689.0195,25.2129,26.8105
28.1094,22717.1289,25.2578,26.6211
28.0059,22745.1348,25.0879,26.4551
28.4668,22773.6016,25.0235,27.0156
28.4746,22802.0762,25.5547,26.9629
28.2695,22830.3457,25.4844,26.7774
28.2813,22858.627,25.3301,26.7578
29.0703,22887.6973,25.2793,26.7539
28.0117,22915.709,25.2696,26.5488
27.7969,22943.5059,25.2442,26.3008
27.9472,22971.4531,25.0879,26.3925
28.5332,22999.9863,25.0157,27.043
28.6446,23028.6309,25.5352,27.0839
28.5468,23057.1777,25.6211,26.9473
28.3125,23085.4902,25.4062,26.7714
28.4043,23113.8945,25.293,26.7383
27.9004,23141.7949,25.2148,26.3945
27.8242,23169.6191,25.1426,26.3008
28.4747,23198.0938,25.0722,26.8418
28.498,23226.5918,25.0957,26.9512
28.4961,23255.0879,25.1093,27.0117
28.3711,23283.459,25.0781,26.8067
28.289,23311.748,25.1016,26.8066
28.1622,23339.9102,25.1426,26.6895
27.8418,23367.752,25.2676,26.3437
28.6542,23396.4062,25.0175,27.0938
28.5137,23424.9199,25.4434,26.9844
28.4571,23453.377,25.5273,26.8964
28.3359,23481.7129,25.3437,26.8242
28.3183,23510.0312,25.2402,26.8184
28.0254,23538.0566,25.2793,26.5078
27.8731,23565.9297,25.1426,26.295
28.3926,23594.3223,25.164,26.2852
27.8457,23622.168,25.0625,26.3359
28.5605,23650.7285,25.4883,27.0176
28.4512,23679.1797,25.5391,26.9707
28.3574,23707.5371,25.5039,26.8418
28.2852,23735.8223,25.2226,26.8066
29.4922,23765.3145,25.2656,26.7266
28.2675,23793.582,25.2324,26.7071
28.0196,23821.6016,25.0371,26.4082
27.7773,23849.3789,25.0645,26.3222
28.6055,23877.9844,25.1816,26.9902
28.6972,23906.6816,25.1075,27.0293
28.3457,23935.0273,25.0684,26.8867
28.2676,23963.2949,25.5371,26.8007
28.3496,23991.6445,25.6191,26.8418
28.0957,24019.7402,25.4063,26.539
28.4981,24048.2383,25.3652,26.9883
30.3437,24078.582,25.2734,27.1661
28.4121,24106.9941,25.166,26.8886
28.3516,24135.3457,25.5449,26.8144
28.3105,24163.6562,25.5996,26.7851
28.1114,24191.7676,25.4765,26.5703
27.9707,24219.7383,25.25,26.418
28.5625,24248.3008,25.3457,26.9668
28.6855,24276.9863,25.246,27.1836
28.3555,24305.3418,25.1152,26.8105
28.3613,24333.7031,25.1289,26.7852
28.3594,24362.0625,25.6016,26.8086
27.9824,24390.0449,25.4746,26.416
27.8438,24417.8887,25.3808,26.291
28.3808,24446.2695,25.2226,26.8653
28.6348,24474.9043,25.2774,27.0195
28.3984,24503.3027,25.166,26.8438
28.3106,24531.6133,25.2422,26.7539
29.3281,24560.9414,25.0703,26.8554
28.1328,24589.0742,25.1602,26.5566
27.9707,24617.0449,25.0175,26.373
28.5313,24645.5762,25.1172,26.9668
28.5156,24674.0918,25.498,26.9551
28.4043,24702.4961,25.4922,26.8691
28.3164,24730.8125,25.3496,26.7519
28.3437,24759.1562,25.2285,26.7773
28.0157,24787.1719,25.3067,26.4649
28.4609,24815.6328,25.1602,26.9473
28.5449,24844.1777,25.0273,26.9805
28.3379,24872.5156,25.0118,26.8027
30.0156,24902.5312,25.1055,26.8672
28.3516,24930.8828,25.0196,26.7969
28,24958.8828,25.0605,26.502
28.6192,24987.502,25.5078,27.0704
28.5976,25016.0996,25.627,27.0547
28.4668,25044.5664,25.3848,26.9238
28.3203,25072.8867,25.289,26.6718
28.3555,25101.2422,25.2774,26.8691
28.039,25129.2812,25.1504,26.5195
28.4336,25157.7148,25.5371,26.9453
28.4707,25186.1855,25.5899,26.9316
28.3868,25214.5723,25.4512,26.8633
28.2793,25242.8516,25.4199,26.7305
28.2617,25271.1133,25.2226,26.791
27.9609,25299.0742,25.2617,26.5137
27.8633,25326.9375,25.0566,26.3359
28.5488,25355.4863,25.0253,27.0019
28.5078,25383.9941,25.5254,27.0254
28.25,25412.2441,25.5527,26.7871
28.1778,25440.4219,25.3868,26.6641
28.3847,25468.8066,25.2675,26.8222
28.0137,25496.8203,25.2812,26.5293
28.4942,25525.3145,25.1777,26.9902
28.6445,25553.959,25.0879,27.1465
28.3808,25582.3398,25.1309,26.9121
28.2188,25610.5586,25.5312,26.7149
28.209,25638.7676,25.5567,26.7207
27.9101,25666.6777,25.3906,26.4805
29.8457,25696.5234,25.2539,26.9004
28.5821,25725.1055,25.2734,27.0879
28.4004,25753.5059,25.1777,26.8691
28.3418,25781.8477,25.5078,26.7636
