latency,time,GPU1,GPU2,fps,time_rel,,
28.2607,15997.5195,25.6856,26.7998,35.38482769,12661.0156,,
28.2715,16025.791,25.4169,26.789,35.37131033,12689.2871,,
28.2842,16054.0752,25.4053,26.7812,35.35542812,12717.5713,,
28.1143,16082.1895,25.3848,26.6045,35.56908762,12745.6856,,
28.0468,16110.2363,25.4189,26.5528,35.65469144,12773.7324,,
27.7764,16138.0127,25.7764,26.3086,36.00178569,12801.5088,,
28.2139,16166.2266,25.5771,26.7198,35.44352252,12829.7227,,
28.2978,16194.5244,25.751,26.8144,35.3384362,12858.0205,,
28.3047,16222.8291,25.5782,26.836,35.32982155,12886.3252,,
28.0986,16250.9277,25.4189,26.6103,35.58896173,12914.4238,,
27.9405,16278.8682,25.6865,26.459,35.79034019,12942.3643,,
28.1836,16307.0518,25.7412,26.6924,35.48162761,12970.5479,,
28.1181,16335.1699,25.7509,26.6152,35.56428066,12998.666,,
28.2071,16363.377,25.4736,26.5987,35.45206703,13026.8731,,
28.0878,16391.4648,25.3828,26.6221,35.60264599,13054.9609,,
28.1055,16419.5703,25.3946,26.5332,35.58022451,13083.0664,,
28.0527,16447.623,25.3925,26.5937,35.64719261,13111.1191,,
28.1641,16475.7871,25.4473,26.6562,35.50619406,13139.2832,,
27.9492,16503.7363,25.8398,26.4551,35.7791994,13167.2324,,
28.4492,16532.1855,25.6856,26.9336,35.1503733,13195.6816,,
28.1836,16560.3691,25.5411,26.7188,35.48162761,13223.8652,,
28.3047,16588.6738,25.5293,26.7715,35.32982155,13252.1699,,
28.1895,16616.8633,25.3438,26.6621,35.47420139,13280.3594,,
28.0547,16644.918,25.4023,26.5683,35.64465134,13308.4141,,
28.4902,16673.4082,25.3281,26.9961,35.0997887,13336.9043,,
28.1895,16701.5977,25.418,26.7031,35.47420139,13365.0938,,
28.2793,16729.877,25.8281,26.7051,35.36155421,13393.3731,,
28.1777,16758.0547,25.6485,26.6836,35.48905695,13421.5508,,
28.1523,16786.207,25.6796,26.6641,35.52107643,13449.7031,,
27.9414,16814.1484,25.5195,26.4649,35.78918737,13477.6445,,
28.1016,16842.25,25.371,26.6465,35.58516241,13505.7461,,
28.0293,16870.2793,25.4296,26.5625,35.67695233,13533.7754,,
28.498,16898.7773,25.42,26.875,35.09018177,13562.2734,,
28.2657,16927.043,25.3867,26.6914,35.37856837,13590.5391,,
28.2636,16955.3066,25.8789,26.7851,35.38119702,13618.8027,,
28.0879,16983.3945,25.6368,26.5996,35.60251923,13646.8906,,
28.0508,17011.4453,25.7109,26.5508,35.64960714,13674.9414,,
28.1231,17039.5684,25.7656,26.6386,35.55795769,13703.0645,,
27.9668,17067.5352,25.4649,26.5019,35.75668292,13731.0313,,
28.0878,17095.623,25.8828,26.5527,35.60264599,13759.1191,,
28.1875,17123.8105,25.6582,26.586,35.4767184,13787.3066,,
28.0235,17151.834,25.6114,26.5293,35.68433636,13815.3301,,
27.8105,17179.6445,25.6289,26.3457,35.9576419,13843.1406,,
28.4766,17208.1211,25.4238,26.9805,35.11655184,13871.6172,,
28.2539,17236.375,25.8203,26.7539,35.39334393,13899.8711,,
28.2559,17264.6309,25.6485,26.7168,35.39083873,13928.127,,
28.1933,17292.8242,25.6406,26.7129,35.46942004,13956.3203,,
28.084,17320.9082,25.4883,26.5958,35.60746332,13984.4043,,
28.0195,17348.9277,25.4238,26.5429,35.68943058,14012.4238,,
28.0176,17376.9453,25.3477,26.5801,35.69185084,14040.4414,,
27.9883,17404.9336,25.7461,26.5215,35.72921542,14068.4297,,
28.0156,17432.9492,25.6855,26.5664,35.69439883,14096.4453,,
28.0567,17461.0059,25.7617,26.5742,35.64211044,14124.502,,
27.9375,17488.9434,25.6777,26.5254,35.79418345,14152.4395,,
27.9882,17516.9316,25.4531,26.4922,35.72934308,14180.4277,,
28.4278,17545.3594,25.6269,26.8848,35.17683394,14208.8555,,
30.123,17575.4824,25.7012,26.8184,33.19722471,14238.9785,,
28.1699,17603.6523,25.5605,26.6894,35.49888356,14267.1484,,
28.1563,17631.8086,25.6543,26.6738,35.51603016,14295.3047,,
28.332,17660.1406,25.5391,26.8144,35.29577862,14323.6367,,
28.2852,17688.4258,25.6074,26.7949,35.35417816,14351.9219,,
28.082,17716.5078,25.4121,26.5449,35.60999929,14380.0039,,
28.2422,17744.75,25.3828,26.7187,35.40800646,14408.2461,,
28.2363,17772.9863,25.8398,26.7403,35.41540499,14436.4824,,
28.2891,17801.2754,25.6153,26.7949,35.34930415,14464.7715,,
28.1953,17829.4707,25.5937,26.6504,35.46690406,14492.9668,,
28.0938,17857.5645,25.6133,26.5821,35.59504232,14521.0606,,
28.039,17885.6035,25.4043,26.5293,35.66461001,14549.0996,,
