latency,time,GPU1,GPU2
28.7949,16566.3027,24.9004,27.1387
28.6094,16594.9121,24.8828,27.0156
28.6309,16623.543,24.8281,27.0508
28.4453,16651.9883,24.6894,26.8496
28.9785,16680.9668,24.6738,27.3301
28.9297,16709.8965,24.6485,27.2852
28.7871,16738.6836,24.6289,27.1699
28.6797,16767.3633,24.6075,27.0449
28.6289,16795.9922,24.7578,27.0195
28.4258,16824.418,24.6738,26.832
29.0488,16853.4668,24.6738,27.3398
28.9394,16882.4062,25.0664,27.3164
28.75,16911.1562,25.1269,27.1133
28.6758,16939.832,24.9824,27.0782
28.6368,16968.4688,24.9375,27.0567
28.5624,16997.0312,24.8516,26.836
27.9317,17024.9629,25.7793,26.3183
27.9648,17052.9277,26.0567,26.3379
27.8125,17080.7402,26.1465,26.1973
27.6934,17108.4336,26.0489,26.0371
27.7637,17136.1973,25.8301,26.1582
27.5547,17163.752,25.8633,25.9902
27.2695,17191.0215,25.7422,25.6563
27.9805,17219.002,25.6523,26.2539
27.9765,17246.9785,26.1757,26.3066
27.7793,17274.7578,26.1582,26.1133
27.5957,17302.3535,25.9453,26.0312
27.668,17330.0215,25.9121,26.1035
27.6406,17357.6621,25.8926,25.9961
27.3027,17384.9648,25.7461,25.6992
27.7637,17412.7285,25.7715,26.2187
27.8789,17440.6074,26.1602,26.3399
27.7656,17468.373,26.1602,26.2168
27.6407,17496.0137,26.0566,26.0371
27.6425,17523.6562,25.8262,26.0254
27.5137,17551.1699,25.789,25.914
27.3692,17578.5391,25.9258,25.5762
28.4316,17606.9707,27.084,24.6152
28.2852,17635.2559,26.9726,25.4589
28.3515,17663.6074,27.0235,25.2597
28.4883,17692.0957,27.166,25.1153
28.3848,17720.4805,27.0547,25.1523
28.5957,17749.0762,27.2675,25.2031
29.289,17778.3652,27.0644,24.8945
30.8516,17809.2168,29.5488,24.6035
28.6582,17837.875,27.3008,25.0664
28.5898,17866.4648,27.2148,25.1231
28.293,17894.7578,26.9375,25.1016
28.836,17923.5938,27.2168,24.7969
28.3906,17951.9844,26.9825,24.6426
28.4961,17980.4805,27.1016,24.7032
28.3613,18008.8418,27.0196,24.5977
28.1348,18036.9766,26.8281,24.664
28.1894,18065.166,26.8476,24.5997
28.6074,18093.7734,27.2031,24.664
28.3692,18122.1426,27.0234,25.2442
28.334,18150.4766,27.0782,25.2675
28.5898,18179.0664,27.1523,25.4805
27.6348,18206.7012,26.3223,25.5606
27.9316,18234.6328,26.625,25.6308
28.0547,18262.6875,26.6953,25.418
27.9785,18290.666,26.6231,25.1172
27.8457,18318.5117,26.3867,25.1093
27.668,18346.1797,26.3359,25.8047
28.2226,18374.4023,26.9122,25.7637
27.9102,18402.3125,26.6035,25.664
27.8945,18430.207,26.586,25.6386
27.8496,18458.0566,26.5977,25.6269
27.7364,18485.793,26.4063,25.3809
27.6035,18513.3965,26.2656,25.2011
27.7695,18541.166,26.4199,25.8457
28.1836,18569.3496,26.8242,25.7656
28.2793,18597.6289,26.9512,25.6308
28.0957,18625.7246,26.7207,25.5528
28.0098,18653.7344,26.6894,25.5703
27.9629,18681.6973,26.6191,25.4062
27.8652,18709.5625,26.5312,25.8086
28.2227,18737.7852,26.9063,25.8106
27.9921,18765.7773,26.6328,25.7226
28.0489,18793.8262,26.6192,25.6094
28.6308,18822.457,25.7832,26.5723
28.0742,18850.5312,25.7188,26.5019
27.8204,18878.3516,25.5606,26.2461
28.4472,18906.7988,25.6172,26.8222
28.3907,18935.1895,25.6211,26.7578
28.3281,18963.5176,25.5879,26.7148
28.2168,18991.7344,25.5976,26.6289
28.209,19019.9434,25.5761,26.5957
27.9785,19047.9219,25.4121,26.3711
28.4199,19076.3418,25.4297,26.7421
28.377,19104.7188,25.2695,26.7929
28.2285,19132.9473,25.1133,26.5938
28.164,19161.1113,25.2481,26.5547
28.1797,19189.291,25.666,26.5958
27.9473,19217.2383,25.6523,26.375
28.5918,19245.8301,25.5977,26.9473
