latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
16.1953,15069.8008,13.0703,12.5547,12.7129,14.2246,61.74630911,1661.1533,,16.3819,7175.5967,13.0884,12.4991,12.8799,14.209,61.04298036,1616.8233
16.0185,15085.8193,13.1279,12.5352,12.7607,14.0235,62.42781784,1677.1718,,16.271,7191.8677,13.0181,12.4771,12.771,14.1289,61.45903755,1633.0943
16.0157,15101.835,13.1143,12.5352,12.6905,13.9658,62.43873199,1693.1875,,15.9477,7207.8154,13.1157,12.4302,12.751,14.0728,62.70496686,1649.042
16.0195,15117.8545,13.0762,12.584,12.6719,14.0352,62.42392085,1709.207,,17.9878,7225.8032,13.1064,12.5566,12.7598,13.9922,55.59323542,1667.0298
16.1719,15134.0264,13.0195,12.5732,12.705,14.0918,61.8356532,1725.3789,,15.9375,7241.7407,13.0478,12.4897,12.8066,14.1221,62.74509804,1682.9673
16.0029,15150.0293,13.1914,12.6045,12.6396,13.9981,62.48867393,1741.3818,,16.1133,7257.854,13.0747,12.4976,12.7382,14.0464,62.06053384,1699.0806
15.9756,15166.0049,13.1054,12.5185,12.7617,13.8857,62.59545807,1757.3574,,16.0254,7273.8794,13.041,12.479,12.7534,14.001,62.40093851,1715.106
15.915,15181.9199,13.1465,12.5107,12.6992,13.8799,62.83380459,1773.2724,,15.9336,7289.813,13.1299,12.4488,12.7529,13.9663,62.76045589,1731.0396
15.8321,15197.752,13.0596,12.6113,12.7919,13.8408,63.16281479,1789.1045,,15.9687,7305.7817,13.1225,12.4438,12.747,13.9389,62.62250528,1747.0083
16.1025,15213.8545,13.0586,12.5664,12.7382,14.1357,62.10215805,1805.207,,16.0035,7321.7852,13.0879,12.4497,12.6655,13.9634,62.48633112,1763.0118
16.0801,15229.9346,13.0479,12.5469,12.8066,14.1816,62.18866798,1821.2871,,15.9062,7337.6914,13.0494,12.4444,12.6954,14.0049,62.86856697,1778.918
16.1806,15246.1152,13.2041,12.6279,12.8281,14.1065,61.80240535,1837.4677,,15.7612,7353.4526,12.9976,12.4717,12.7266,13.8794,63.44694566,1794.6792
16.7784,15262.8936,13.0762,12.5078,12.7441,14.083,59.60043866,1854.2461,,16.1036,7369.5562,13.124,12.4038,12.8843,13.9092,62.09791599,1810.7828
17.1582,15280.0518,13.1054,12.5224,12.6601,14.1865,58.28117168,1871.4043,,15.851,7385.4072,13.1694,12.4223,12.6944,13.9326,63.08750237,1826.6338
17.4726,15297.5244,13.1407,12.5879,12.6543,14.0195,57.23246683,1888.8769,,16.1558,7401.563,13.2153,12.4341,12.7471,14.188,61.89727528,1842.7896
16.8672,15314.3916,13.0733,12.582,12.7216,14.0488,59.28666287,1905.7441,,16.1953,7417.7583,13.1845,12.4433,12.7172,14.1372,61.74630911,1858.9849
16.126,15330.5176,13.1396,12.5342,12.6778,14.1289,62.01165819,1921.8701,,17.6157,7435.374,13.2392,12.4781,12.7139,14.1778,56.76754259,1876.6006
15.9209,15346.4385,13.1494,12.5263,12.8232,14.0039,62.81051951,1937.791,,17.5806,7452.9546,13.1855,12.3833,12.7359,14.1923,56.88088006,1894.1812
16.0752,15362.5137,13.0508,12.5595,12.6934,14.0752,62.20762417,1953.8662,,16.5688,7469.5234,13.0971,12.5005,12.7481,14.0982,60.35440104,1910.75
16.1728,15378.6865,13.1846,12.6543,12.7471,14.002,61.83221211,1970.039,,15.8882,7485.4116,13.0616,12.4463,12.752,13.999,62.9397918,1926.6382
15.918,15394.6045,13.1162,12.5225,12.6846,13.8584,62.82196256,1985.957,,15.9253,7501.3369,13.0019,12.418,12.7183,14.0976,62.79316559,1942.5635
15.9316,15410.5361,13.1592,12.626,12.7167,13.8858,62.76833463,2001.8886,,16.0288,7517.3657,13.0777,12.5073,12.7129,14.0918,62.38770214,1958.5923
15.9366,15426.4727,13.0938,12.5361,12.707,13.9121,62.74864149,2017.8252,,16.0703,7533.436,13.1167,12.5054,12.6626,14.086,62.22659191,1974.6626
15.8134,15442.2861,13.0733,12.5596,12.6953,13.8213,63.23750743,2033.6386,,15.9947,7549.4307,13.0757,12.4248,12.6909,13.9297,62.52070999,1990.6573
17.1787,15459.4648,13.0205,12.5742,12.7119,13.9004,58.21162253,2050.8173,,15.8403,7565.271,13.0479,12.4175,12.6792,13.8877,63.13011749,2006.4976
15.9883,15475.4531,13.1524,12.5644,12.7158,13.9424,62.54573657,2066.8056,,15.8374,7581.1084,13.0664,12.4673,12.7891,13.9243,63.1416773,2022.335
16.085,15491.5381,12.9844,12.5284,12.7188,14.0869,62.16972334,2082.8906,,15.9497,7597.0581,13.0625,12.4482,12.6817,13.8389,62.69710402,2038.2847
16.165,15507.7031,13.0517,12.6396,12.8232,14.0996,61.86204763,2099.0556,,15.9492,7613.0073,13.1519,12.4263,12.6699,13.9209,62.69906955,2054.2339
16.2002,15523.9033,13.0752,12.5293,12.7363,14.2412,61.72763299,2115.2558,,15.7847,7628.792,13.0805,12.4746,12.6622,13.833,63.3524869,2070.0186
16.1709,15540.0742,13.0566,12.5049,12.6884,14.1592,61.83947709,2131.4267,,15.8901,7644.6821,13.1221,12.4795,12.7114,13.9029,62.932266,2085.9087
16.4756,15556.5498,13.1064,12.6357,12.6738,14.1142,60.69581684,2147.9023,,16.0879,7660.77,13.1015,12.4932,12.6982,14.1982,62.15851665,2101.9966
17.1709,15573.7207,13.1269,12.5596,12.6933,14.042,58.23806556,2165.0732,,16.0386,7676.8086,13.0601,12.5019,12.7949,14.1826,62.34958163,2118.0352
16.2412,15589.9619,13.0947,12.625,12.752,14.0567,61.57180504,2181.3144,,17.8647,7694.6733,13.1318,12.4194,12.7495,14.2808,55.97631083,2135.8999
16.1865,15606.1484,13.1592,12.5352,12.7031,14.084,61.77987829,2197.5009,,16.8579,7711.5312,13.0464,12.4502,12.6646,14.1357,59.31936955,2152.7578
16.0352,15622.1836,13.1552,12.5469,12.7109,13.9648,62.36280184,2213.5361,,16.1475,7727.6787,13.0874,12.4463,12.6474,14.022,61.92909119,2168.9053
16.1025,15638.2861,13.1445,12.5722,12.7051,14.0732,62.10215805,2229.6386,,15.9712,7743.6499,13.0283,12.4531,12.7227,14.0322,62.61270287,2184.8765
16.0918,15654.3779,13.1856,12.5058,12.7099,14.0381,62.14345194,2245.7304,,16.0479,7759.6978,13.1631,12.5303,12.7338,14.0859,62.31344911,2200.9244
